movie_id,genre_id,genre_name
1218925,10749,Romance
1218925,14,Fantasy
1439112,28,Action
1439112,53,Thriller
1439112,9648,Mystery
693134,878,Science Fiction
693134,12,Adventure
62029,35,Comedy
465212,9648,Mystery
465212,18,Drama
1069905,18,Drama
1069905,35,Comedy
1220564,80,Crime
1220564,18,Drama
1220564,53,Thriller
457332,28,Action
457332,35,Comedy
457332,53,Thriller
1214931,36,History
1214931,18,Drama
1305781,28,Action
1305781,18,Drama
1305781,36,History
1078605,27,Horror
1078605,9648,Mystery
1248226,28,Action
1248226,35,Comedy
1248226,10751,Family
120,12,Adventure
120,14,Fantasy
120,28,Action
546766,35,Comedy
533533,878,Science Fiction
533533,12,Adventure
533533,28,Action
597,18,Drama
597,10749,Romance
557,28,Action
557,878,Science Fiction
179514,35,Comedy
179514,10770,TV Movie
19995,28,Action
19995,12,Adventure
19995,878,Science Fiction
269149,16,Animation
269149,12,Adventure
269149,10751,Family
269149,35,Comedy
1199193,53,Thriller
1124566,18,Drama
1029575,28,Action
1029575,35,Comedy
1029575,10751,Family
1646787,18,Drama
1396888,18,Drama
1396888,10749,Romance
1061474,878,Science Fiction
1061474,12,Adventure
1061474,28,Action
322441,35,Comedy
155,28,Action
155,80,Crime
155,53,Thriller
4247,35,Comedy
1426297,27,Horror
4934,37,Western
14262,35,Comedy
14262,80,Crime
10703,28,Action
10703,18,Drama
10866,9648,Mystery
10866,53,Thriller
10866,18,Drama
808,16,Animation
808,35,Comedy
808,14,Fantasy
808,12,Adventure
808,10751,Family
122,12,Adventure
122,14,Fantasy
122,28,Action
27205,28,Action
27205,878,Science Fiction
27205,12,Adventure
1561687,18,Drama
628847,28,Action
628847,80,Crime
628847,53,Thriller
1624,35,Comedy
201760,18,Drama
1575337,16,Animation
1575337,14,Fantasy
1575337,10402,Music
1575337,878,Science Fiction
10733,36,History
10733,10752,War
10733,18,Drama
356320,18,Drama
356320,35,Comedy
1007734,28,Action
1007734,53,Thriller
129,16,Animation
129,10751,Family
129,14,Fantasy
91751,35,Comedy
1353333,27,Horror
496243,35,Comedy
496243,53,Thriller
496243,18,Drama
1198994,27,Horror
1198994,53,Thriller
1198994,35,Comedy
1379885,99,Documentary
413766,27,Horror
413766,35,Comedy
807,80,Crime
807,9648,Mystery
807,53,Thriller
1315303,27,Horror
1315303,53,Thriller
1083637,28,Action
1083637,18,Drama
1083637,14,Fantasy
575265,28,Action
575265,53,Thriller
575265,12,Adventure
31250,10751,Family
31250,16,Animation
31250,12,Adventure
1006462,28,Action
1006462,9648,Mystery
1006462,53,Thriller
1006462,27,Horror
872585,18,Drama
872585,36,History
680,53,Thriller
680,80,Crime
680,35,Comedy
952374,53,Thriller
952374,18,Drama
701387,878,Science Fiction
701387,53,Thriller
701387,35,Comedy
617126,878,Science Fiction
617126,12,Adventure
617126,28,Action
431418,18,Drama
10538,28,Action
10538,12,Adventure
10538,53,Thriller
603,28,Action
603,878,Science Fiction
76600,28,Action
76600,12,Adventure
76600,878,Science Fiction
533535,28,Action
533535,35,Comedy
533535,878,Science Fiction
226674,18,Drama
