adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,genre_ids
False,/1gLFGrxHqQebqLWpISmoFR6XWtJ.jpg,,,,,1088434,,,en,Hellfire,A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,111.4932,/tQti9QTf13MfzNpXguijgNh7ojE.jpg,,,2026-02-05,,,,,,Hellfire,False,6.904,57,"[28, 53]"
False,/cz4vLJrmaV1zJlRYbxqtvLzeLWB.jpg,,,,,1168190,,,en,The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",107.9411,/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg,,,2026-01-28,,,,,,The Wrecking Crew,False,6.881,790,"[28, 35, 80, 9648]"
False,/vSQSYd2zZTqc0zmHImwWEGGluMI.jpg,,,,,1316092,,,en,"""Wuthering Heights""","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",102.1383,/3YBce6dTh1D5oCMITXk2S5QhPt.jpg,,,2026-02-11,,,,,,"""Wuthering Heights""",False,6.3,526,"[10749, 18]"
False,/ibK0sooxQwIeqS9tz4Tj0chyca9.jpg,,,,,1058710,,,en,Bloodline Killer,Moira Cole endeavors to rebuild her shattered life after her family's murder at the hands of her deranged and obsessed cousin.,111.2285,/wHmzCQwBzT6m8wtZdXHOIITn82B.jpg,,,2024-04-26,,,,,,Bloodline Killer,False,5.818,44,"[27, 53]"
False,/yJi6g0CnsqANLNuVaRX28tZxeHX.jpg,,,,,1193501,,,en,Whistle,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",118.5255,/eGxPyseSnEZBMJaopGfRUO9HSYx.jpg,,,2026-01-20,,,,,,Whistle,False,6.103,156,"[27, 9648]"
False,/lNYympQM5O6QSInusbyG9eJDIe4.jpg,,,,,1311031,,,ja,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",95.922,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,,,2025-07-18,,,,,,Demon Slayer: Kimetsu no Yaiba Infinity Castle,False,7.7,764,"[16, 28, 14]"
False,/lmns2jlRmATs8OGWKcCkgrbHLM4.jpg,,,,,1634301,,,te,Vanaveera,A descendant of the Vanara clan is pushed into conflict when a modern-day Ravana seizes his only bike for an election rally. What starts as a petty injustice soon erupts into a fierce fight for self-respect and dignity.,87.468,/oBYExKI8E3bTzQjPkofhpV2EJon.jpg,,,2026-02-13,,,,,,Vanaveera,False,7.0,3,"[28, 18]"
False,/iZLqwEwUViJdSkGVjePGhxYzbDb.jpg,,,,,755898,,,en,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",93.0743,/yvirUYrva23IudARHn3mMGVxWqM.jpg,,,2025-07-29,,,,,,War of the Worlds,False,4.158,924,"[878, 53]"
False,/rakS8RAhKOMIplBi4RbluQg4Xqn.jpg,,,,,1284460,,,fr,Alpha,"Alpha, a troubled 13-year-old lives with her single mom. Their world collapses the day she returns from school with a tattoo on her arm.",80.6853,/iE3P4LFSJCBX5PRWxbPs7DQh7yI.jpg,,,2025-08-20,,,,,,Alpha,False,6.401,96,"[27, 18, 878, 53]"
False,/zTnAnYIn0Iv3cn0ZHlzLhou3ybm.jpg,,,,,1368166,,,en,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",91.846,/cWsBscZzwu5brg9YjNkGewRUvJX.jpg,,,2025-12-18,,,,,,The Housemaid,False,7.237,1533,"[18, 9648, 53]"
