adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/lfJDMhBgrLR1RkEcmZtSQ95aQRl.jpg,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",https://www.fracturedjustice.com,980571,tt10551078,['US'],en,Fractured Justice,"To save the woman he loves from a human trafficking auction, a former criminal hitman must return to the violent life he deserted and dismantle the empire he once served.",0.1878,/sAJgcw31UpiMwO8CCnvEPWepefu.jpg,"[{'id': 176072, 'logo_path': None, 'name': 'SkyCity Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2028-10-20,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,"Loyalty tested, lines blur, truth fractured.",Fractured Justice,False,0.0,0
False,,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",,1411095,tt35257513,['IN'],hi,दूसरा महायुद्ध,The eleventh installment in the Maddock Supernatural Cinematic Universe. Plot TBA.,0.6879,/3eTCJq3M5KKnnAW3Cwvy1h9Ln4I.jpg,"[{'id': 86699, 'logo_path': None, 'name': 'Maddock Films', 'origin_country': 'IN'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2028-10-18,0,0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Planned,,Doosara Mahayudh,False,0.0,0
False,,,0,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",,1653067,tt33440451,['US'],en,The Young Justice,"After the Justice League vanishes into a war in space, The Young Justice steps up to investigate a series of brutal murders. As the team balances growing personal struggles with the responsibilities of saving the world, they find themselves targeted by a mysterious and deadly mastermind.",0.2188,/oHuw4ANN7nmVv3TIMPextHnzXoS.jpg,"[{'id': 248890, 'logo_path': None, 'name': 'Shazampool studios', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2028-10-13,0,0,[],In Production,"ALL FOR ONE, ONE FOR ALL",The Young Justice,False,0.0,0
False,,,25000000,"[{'id': 18, 'name': 'Drama'}]",,1626020,,"['US', 'FR']",en,Halmeoni,,0.1604,,[],"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2028-09-16,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",In Production,,Halmeoni,False,0.0,0
False,,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,1536556,,['US'],en,Grave Echos,A Direct Sequel to Grave Mistakes...,0.2891,/bCfw1weZpSKC3fDzbUvo5Cev0Qo.jpg,"[{'id': 248950, 'logo_path': None, 'name': 'SN Pictures', 'origin_country': ''}, {'id': 258329, 'logo_path': None, 'name': 'NW Studios', 'origin_country': ''}]",[],2028-08-17,0,0,[],Planned,You can never outlive the dead..,Grave Echos,False,0.0,0
False,,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",,1411093,tt35257511,['IN'],hi,पहला महायुद्ध,The tenth installment in the Maddock Supernatural Cinematic Universe. Plot TBA.,1.2457,/bmxKmw2u7W6zm2eVfuc8wtk6BKb.jpg,"[{'id': 86699, 'logo_path': None, 'name': 'Maddock Films', 'origin_country': 'IN'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2028-08-11,0,0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Planned,,Pehla Mahayudh,False,0.0,0
False,,,300,"[{'id': 18, 'name': 'Drama'}]",,1553031,tt38987938,['NZ'],en,Burnout: A Formula 1 Story,"A non-profit, fan-made project - Herro Highlander, a driver in the Formula 2 Championship, battles a rookie in a dogfight for the title as he deals with financial troubles, mental and physical struggles - All of which could cost him the title, and cost him his road to Formula 1. With only enough funds for a final F2 season, and only one F1 seat available next year, can Herro push to the top and show his true potential?",0.3178,/xexefUkPAi0qBllzJWoTK3HvcJn.jpg,"[{'id': 262246, 'logo_path': None, 'name': '828 Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}]",2028-07-21,0,100,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Canceled,,Burnout: A Formula 1 Story,False,0.0,0
False,/yz0hYeQDhcPb4IQwd7PiNSfjerF.jpg,,0,"[{'id': 16, 'name': 'Animation'}]",,615127,tt38796554,"['JP', 'US']",en,The Hello Kitty Movie,An animated feature film based on the Hello Kitty character. Plot TBA.,1.3581,/l6iNUNfU0eFooq1ZjUeyrJv7U3X.jpg,"[{'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 257419, 'logo_path': '/hMYPBQ7Pej9gTLRK7nqI3fJvQMQ.png', 'name': 'Warner Bros. Pictures Animation', 'origin_country': 'US'}, {'id': 34081, 'logo_path': None, 'name': 'Flynn Picture Company', 'origin_country': 'US'}, {'id': 8487, 'logo_path': '/bXWVZmW3RD6SAk0lFahPxNbp541.png', 'name': 'Sanrio', 'origin_country': 'JP'}, {'id': 279167, 'logo_path': None, 'name': 'Known Universe', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",2028-07-20,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",In Production,,The Hello Kitty Movie,False,0.0,0
False,,,0,[],,1619712,,['AU'],en,Cast in Blue,No information will be released until Born in Blue officially launches.,0.0071,,[],[],2028-07-12,0,0,[],Planned,,Cast in Blue,False,0.0,0
False,/5nKcTn4ej2cWl02ciFOuhzUhPHi.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,1620192,,['CR'],es,Cabanga,,0.1002,/sdqlHaUVfslSOR2KAxzsJY6mEsB.jpg,"[{'id': 253762, 'logo_path': None, 'name': 'Fine Studios', 'origin_country': ''}]",[],2028-07-03,0,0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",In Production,,Cabanga,False,0.0,0
