id,title,release_date,vote_average,vote_count
557,Spider-Man,2002-05-01,7.323,20412
179514,Schüleraustausch,2006-02-22,5.944,9
19995,Avatar,2009-12-16,7.6,33629
269149,Zootopia,2016-02-11,7.8,17834
1199193,Pose,2026-02-25,6.52,25
1124566,Sentimental Value,2025-08-20,7.539,719
1029575,The Family Plan,2023-12-14,7.228,1826
1646787,Sundutan,2026-03-06,4.0,1
1396888,Celestina: Burlesk Dancer,2024-12-04,3.0,4
1061474,Superman,2025-07-09,7.349,4487
322441,Dixie Dugan,1943-03-12,5.0,1
155,The Dark Knight,2008-07-16,8.527,35346
1077731,Mandela,2023-01-19,0.0,0
4247,Scary Movie,2000-07-07,6.385,7607
1426297,Play Dead,2025-03-29,5.875,20
4934,Firecreek,1968-01-24,6.322,73
14262,Desperate Living,1977-05-27,6.4,114
10703,Seven Swords,2005-07-25,6.237,192
10866,Joy Ride,2001-10-05,6.5,1319
808,Shrek,2001-05-18,7.757,18501
122,The Lord of the Rings: The Return of the King,2003-12-17,8.494,26186
27205,Inception,2010-07-15,8.37,38857
1561687,Made in Korea,2026-03-12,6.3,18
628847,Trap House,2025-11-14,6.523,241
1624,Liar Liar,1997-03-21,6.705,6141
201760,Panorama,2013-02-23,6.0,3
1575337,Cosmic Princess Kaguya!,2026-01-22,8.3,56
10733,The Alamo,2004-04-07,5.768,360
356320,Paul à Québec,2015-09-18,6.826,23
1007734,Nobody 2,2025-08-13,6.967,1346
129,Spirited Away,2001-07-20,8.534,18076
91751,Cuci,2009-01-08,7.0,1
1353333,Mouseboat Massacre,2025-05-09,5.661,28
496243,Parasite,2019-05-30,8.493,20288
1198994,Send Help,2026-01-22,7.1,366
1379885,For the Health of a Worker,1942-01-01,0.0,0
413766,Zombie Prom,2006-02-09,6.5,2
807,Se7en,1995-09-22,8.379,22780
1315303,Primate,2026-01-01,6.531,487
1083637,Kantara - A Legend: Chapter 1,2025-10-01,6.971,69
575265,Mission: Impossible - The Final Reckoning,2025-05-17,7.2,2644
31250,A Fox's Tale,2008-04-17,1.77,23
1006462,The Flood,2023-07-14,6.164,281
872585,Oppenheimer,2023-07-19,8.033,11488
680,Pulp Fiction,1994-09-10,8.486,29849
952374,The Aviary,2022-04-29,5.256,39
701387,Bugonia,2025-10-23,7.354,1654
692093,Thiruvarul,1975-04-12,0.0,0
617126,The Fantastic 4: First Steps,2025-07-23,7.0,3094
431418,Carnaval,1990-02-07,0.0,0
10538,Passenger 57,1992-11-06,5.993,1091
603,The Matrix,1999-03-31,8.24,27531
76600,Avatar: The Way of Water,2022-12-14,7.597,13847
533535,Deadpool & Wolverine,2024-07-24,7.555,8373
226674,The Adolescent,1979-01-24,4.3,12
950387,A Minecraft Movie,2025-03-31,6.272,2858
1249508,Grizzly Night,2026-07-02,0.0,0
1197306,A Working Man,2025-03-26,6.687,1816
950396,The Gorge,2025-02-13,7.619,3511
1223601,Sisu: Road to Revenge,2025-10-21,7.322,605
639988,No Other Choice,2025-09-24,7.563,831
4232,Scream,1996-12-20,7.427,7778
671,Harry Potter and the Philosopher's Stone,2001-11-16,7.898,29271
1317672,Love Me Love Me,2026-02-12,5.576,177
13,Forrest Gump,1994-06-23,8.463,29387
1600672,EVANGELION 30th Anniversary Special Screening,2026-02-21,7.7,3
1087192,How to Train Your Dragon,2025-06-06,7.928,2671
315635,Spider-Man: Homecoming,2017-07-05,7.329,22942
893694,Eva,2021-12-24,5.1,20
1175942,The Bad Guys 2,2025-07-24,7.67,706
553510,Bizet: Carmen,2017-03-07,0.0,0
1406657,Scarlet,2025-11-21,6.276,29
519182,Despicable Me 4,2024-06-20,7.0,3108
328595,Parallels,2015-03-01,6.021,387
1095885,SHARE?,2023-11-10,5.5,22
571756,Leberkäsjunkie,2019-08-01,6.933,105
550,Fight Club,1999-10-15,8.438,31630
980477,Ne Zha 2,2025-01-29,8.122,622
1499826,Caring Cabin,2025-07-01,0.0,0
475557,Joker,2019-10-01,8.126,27433
181808,Star Wars: The Last Jedi,2017-12-13,6.757,16158
14052,Revenge of the Nerds,1984-07-20,6.5,794
1462635,Angela,,0.0,0
34563,Our Family Wedding,2010-03-12,5.62,138
45757,Saving Sarah Cain,2007-08-19,5.2,25
324857,Spider-Man: Into the Spider-Verse,2018-12-06,8.393,16964
161579,Bosko's Store,1932-08-13,5.45,11
552524,Lilo & Stitch,2025-05-17,7.201,2073
646385,Scream,2022-01-12,6.69,3772
507244,Afterburn,2025-08-20,6.35,224
1258151,Kraken,2025-04-17,6.283,46
1517988,Making the Grade,1929-02-17,0.0,0
227156,The Giver,2014-08-13,6.558,4594
10110,Empire of the Sun,1987-12-09,7.503,2086
10184,He's Just Not That Into You,2009-02-06,6.627,3998
372058,Your Name.,2016-08-26,8.479,12358
1310568,Murder at the Embassy,2025-11-14,5.8,37
795615,The Feast,2021-11-19,5.7,85
1045944,The Boss Baby: Christmas Bonus,2022-12-06,6.683,314
1381216,Lake Jesup: Bonecrusher's Revenge,2024-05-01,5.889,18
569094,Spider-Man: Across the Spider-Verse,2023-05-31,8.333,8354
44399,Blood and Sand,1941-05-30,6.5,65
1715,The Cider House Rules,1999-12-17,7.075,1270
346698,Barbie,2023-07-19,6.928,10874
1205225,Gates of Flesh,2025-04-08,5.889,36
361743,Top Gun: Maverick,2022-05-21,8.154,10676
429617,Spider-Man: Far From Home,2019-06-28,7.396,16758
1267319,Mantis,2025-09-25,6.278,151
737783,Cecile,1977-05-30,0.0,0
1022789,Inside Out 2,2024-06-11,7.547,6526
1252037,The Tank,2025-09-18,7.083,378
62201,Shahenshah,1988-01-29,6.3,25
1429605,F Valentine's Day,2026-02-12,6.3,57
999136,Do Not Enter,2026-03-19,6.5,7
939243,Sonic the Hedgehog 3,2024-12-19,7.619,3178
299534,Avengers: Endgame,2019-04-24,8.235,27379
105,Back to the Future,1985-07-03,8.325,21497
1589891,A Time for Bravery,2025-12-18,7.5,84
672,Harry Potter and the Chamber of Secrets,2002-11-13,7.705,23342
1588846,Ekis,2025-12-19,6.25,4
862,Toy Story,1995-11-22,7.971,19650
1317149,I Swear,2025-09-22,8.34,122
1241982,Moana 2,2024-11-21,7.001,2983
1038392,The Conjuring: Last Rites,2025-09-03,6.897,1696
286687,Love Lesson,2013-12-05,6.8,42
497,The Green Mile,1999-12-10,8.505,18961
1497970,Tom and Jerry: Forbidden Compass,2025-08-02,5.977,22
350,The Devil Wears Prada,2006-06-29,7.387,12838
769,GoodFellas,1990-09-12,8.5,14114
1389149,Accused,2026-02-27,5.2,56
216015,Fifty Shades of Grey,2015-02-11,5.872,12294
674,Harry Potter and the Goblet of Fire,2005-11-16,7.801,21943
1242501,Icefall,2025-10-16,6.423,143
1489187,You Drive Me Crazy,2025-10-09,8.2,8
1156594,Our Fault,2025-10-15,7.371,631
424,Schindler's List,1993-12-15,8.567,17221
1428862,Firebreak,2026-02-19,6.244,90
1078023,The King of Snipers,2023-01-24,5.6,10
541671,Ballerina,2025-06-04,7.247,2415
1184918,The Wild Robot,2024-09-12,8.309,5815
773543,Fib the Truth,2021-09-09,5.7,86
1321179,The King's Warden,2026-02-04,7.5,6
1555951,Salikmata,2025-10-22,3.333,3
225914,Spider-Man,1977-09-14,6.334,205
10138,Iron Man 2,2010-04-28,6.851,22158
121,The Lord of the Rings: The Two Towers,2002-12-18,8.413,23574
240,The Godfather Part II,1974-12-20,8.572,13699
1032892,In the Blink of an Eye,2026-01-26,5.079,76
1726,Iron Man,2008-04-30,7.656,27860
982843,The Great Flood,2025-09-18,5.984,626
8587,The Lion King,1994-06-15,8.252,19475
1035259,The Naked Gun,2025-07-30,6.366,1543
1643729,Ishqa'n De Lekhe,2026-03-06,0.0,0
101,Léon: The Professional,1994-09-14,8.295,15876
1629382,Street Flow 3,2026-03-04,5.5,38
1490241,Ulya,,0.0,0
574475,Final Destination Bloodlines,2025-05-14,7.052,2706
195474,Games Women Play,2005-01-01,0.0,0
941109,Play Dirty,2025-09-30,6.585,582
157363,The Magic Treasure,2006-09-23,2.0,1
1357633,Solo Leveling -ReAwakening-,2024-11-26,7.101,262
8966,Twilight,2008-11-20,6.28,14268
